Vendor_ID,Vendor_Name,Vendor_Category,Years_In_Business,Total_Orders,Delivered_Orders,Returned_Orders,Delayed_Orders,Disputed_Orders,Avg_Delivery_Days,Rating,Product_Quality_Score,Response_Time_Hours,Refund_Rate,Contract_Value,Risk_Level
V6716,Vendor_920_Ltd,Packaging,11,566,388,270,146,144,5,2.16,2.0,26.0,0.0597,2078.0,Low
V8326,Vendor_289_Ltd,Chemicals,22,2349,1363,943,227,637,24,3.37,4.0,16.0,0.2628,342069.0,Low Risk
V3161,Vendor_324_Ltd,Office Supplies,19,4892,300,60,24,232,18,2.43,9.0,30.0,0.0672,475632.0,NO
V1659,Vendor_645_Inc,Raw Materials,20,87,43,12,15,41,18,2.6,7.0,8.0,0.1192,212076.0,NO
V4457,Vendor_300_Corp,IT Hardware,30,2829,13,9,7,3,17,3.43,4.0,66.0,0.0485,144625.0,0
V5357,Vendor_689_Corp,Raw Materials,8,2115,24,10,1,22,26,3.6,9.0,,0.1926,42574.0,1
V4878,Vendor_174_Co,IT Hardware,15,2801,222,210,85,133,25,2.29,8.0,16.0,0.0257,32817.0,0
V1628,Vendor_918_LLC,Textiles,4,4426,61,23,15,41,1,4.44,5.0,56.0,0.2818,489514.0,0
V9562,Vendor_550_Corp,Raw Materials,20,1311,1050,738,581,726,30,3.23,10.0,4.0,0.0378,99999999.0,High Risk
V4613,Vendor_164_LLC,Textiles,11,945,509,304,409,315,26,4.51,7.0,42.0,0.0362,359659.0,Low Risk
V6973,Vendor_874_Co,Machinery,13,4233,1536,290,426,1155,26,2.05,2.0,37.0,0.0261,335033.0,low
V7823,Vendor_812_Corp,Office Supplies,30,1850,65,25,47,19,26,2.82,7.0,49.0,0.1219,126032.0,YES
V6900,Vendor_437_LLC,Automotive,9,2368,625,564,105,438,11,3.03,3.0,60.0,0.0401,143679.0,YES
V9046,Vendor_515_Ltd,IT Hardware,13,1225,512,19,106,292,-1,3.64,7.0,12.0,0.2485,-1000.0,1
V6729,Vendor_647_Corp,Automotive,25,1981,111,1,25,102,15,3.1,4.0,33.0,0.2233,324541.0,1
V6557,Vendor_203_LLC,Food & Beverage,28,2252,1102,527,569,123,10,3.9,9.0,58.0,0.0168,178035.0,High
V4297,Vendor_904_Corp,Packaging,7,457,216,88,50,51,22,3.43,8.0,43.0,0.2556,297797.0,Low
V5257,Vendor_275_Ltd,Automotive,14,1704,479,296,75,194,1,2.79,3.0,30.0,0.2667,325240.0,
V2875,Vendor_260_Inc,Office Supplies,17,2916,2651,1258,331,524,29,2.64,10.0,33.0,0.1181,36287.0,0
V1829,Vendor_214_Inc,Machinery,23,1677,968,901,874,732,12,2.99,1.0,43.0,0.0806,178644.0,High
V1994,Vendor_739_Inc,Chemicals,9,3913,2252,1074,2128,1635,10,3.77,6.0,48.0,0.1021,109774.0,0
V6536,Vendor_290_Ltd,Office Supplies,17,4475,3188,557,1750,2218,15,4.22,1.0,32.0,0.0449,266194.0,low
V6674,Vendor_526_Inc,Packaging,24,2675,861,306,707,544,1,2.85,7.0,22.0,0.0775,450043.0,
V9917,Vendor_978_Corp,Electronics,21,1854,845,84,73,581,10,TBD,2.0,39.0,0.2413,301793.0,Low Risk
V1074,Vendor_998_Corp,IT Hardware,6,3406,1151,365,904,444,2,4.5,2.0,69.0,0.1684,255824.0,0
V7457,Vendor_910_Inc,Chemicals,19,2540,1276,524,87,202,25,2.05,10.0,22.0,0.0713,323764.0,1
V1356,Vendor_888_Corp,Office Supplies,15,4205,2873,904,77,346,18,3.73,10.0,43.0,0.0252,423844.0,Low Risk
V6905,Vendor_324_Inc,Automotive,10,930,346,192,54,34,13,,8.0,8.0,0.2764,22398.0,High
V6307,Vendor_301_LLC,Office Supplies,2,1113,431,186,86,348,18,3.89,2.0,24.0,0.2049,476705.0,NO
V8136,Vendor_376_Ltd,Food & Beverage,26,1049,81,47,59,24,3,3.06,3.0,58.0,0.0664,434000.0,0
V1590,Vendor_468_LLC,Electronics,6,4192,1897,1259,347,1380,3,,7.0,46.0,0.2009,213573.0,Low Risk
V9225,Vendor_610_LLC,Food & Beverage,6,3895,3210,965,1477,2903,20,3.82,4.0,28.0,0.1886,178969.0,NO
V2103,Vendor_132_Co,Raw Materials,26,634,519,255,455,418,29,4.69,10.0,70.0,0.0292,340724.0,
V8607,Vendor_347_LLC,Automotive,4,729,425,276,407,17,27,3.72,6.0,5.0,N/A,79805.0,1
V1969,Vendor_934_Ltd,Office Supplies,4,4243,3587,3036,2967,967,2,2.49,10.0,68.0,0.182,420027.0,Low
V9858,Vendor_280_LLC,Chemicals,12,1934,402,179,310,146,5,2.86,9.0,69.0,0.0356,458520.0,0
V1293,Vendor_143_LLC,Raw Materials,20,1914,1715,859,681,1320,1,3.6,8.0,72.0,0.2708,292510.0,0
V3029,Vendor_797_Corp,Machinery,12,2254,1508,950,1034,812,16,3.78,3.0,61.0,0.1761,184374.0,Low
V4501,Vendor_825_Corp,Electronics,26,3511,2164,1174,1520,2103,19,2.04,6.0,72.0,0.2038,264939.0,NO
V6367,Vendor_476_Inc,Raw Materials,19,369,199,29,44,71,12,4.74,4.0,17.0,0.0487,70854.0,high
V4540,Vendor_835_Corp,Raw Materials,28,1322,403,122,86,46,19,2.66,7.0,,0.2325,72625.0,high
V8206,Vendor_179_Inc,Machinery,9,2281,2135,1984,979,1124,11,2.96,9.0,11.0,0.0415,122247.0,high
V6832,Vendor_824_Ltd,Raw Materials,9,1218,979,317,616,154,18,4.35,4.0,3.0,0.1004,430527.0,NO
V8560,Vendor_191_LLC,Electronics,21,222,204,118,55,157,15,,2.0,14.0,0.0613,427244.0,high
V1393,Vendor_511_Co,Machinery,2,4612,672,213,373,102,15,3.46,Good,,0.2192,236246.0,0
V8564,Vendor_286_Corp,Chemicals,13,232,21,20,13,4,11,2.63,6.0,44.0,0.2284,199771.0,High
